Date,AIEG,AIESH,Gaselwest,IMEA,IVEG,IVEKA,Imewo,Infrax West,Inter-Energa,Intergem,Iverlek,Ores Brabant wallon,Ores Est,Ores Hainaut,Ores Luxembourg,Ores Mouscron,Ores Namur,Ores Verviers,PBE,Regie de Wavre,Resa,Sibelga,Sibelgas
2015-03-02,1124.32,1021.19,1292.82,927.44,927.87,979.77,965.39,1291.32,1049.49,1014.53,1018.27,1153.86,598.66,1133.28,998.31,965.58,1104.9,856.38,1013.97,1091.34,961.06,947.805,1045.92
2015-03-03,717.24,730.55,663.39,347.75,380.93,360.64,520.18,675.43,431.34,440.12,435.19,482.27,415.66,557.49,808.66,483.67,648.99,520.61,471.13,535.98,604.45,384.055,452.5
2015-03-04,1088.55,1082.16,1204.88,839.6,844.18,937.6,899.58,1244.56,1092.47,895.15,1024.78,1172,562.75,1141.61,771.04,856.19,1057.79,800.33,1084.36,1076.61,935.1,970.6,1079.82
2015-03-05,1192.92,1339.79,1547.53,1142.27,1142.77,1160.63,1312.32,1621.63,1132.98,1239.43,1201.4,1258.71,723.97,1348.19,1077.33,1000.76,1235.84,919.4,1207.39,1212.45,936.11,1127.81,1292.46
2015-03-06,1227.71,1028.95,1032.56,554.32,549.14,605.82,763.13,990.59,927.49,706.08,806.77,874.29,1261.19,923.81,1482.56,723.01,1115.01,1340.35,945.3,812.28,1304.96,757.275,838.03
2015-03-07,1282.25,1414.54,1133.26,1298.89,1212.62,1279.39,1059.49,1185.45,1249.47,1309.77,1344,1293.27,1188.26,1333.42,1279.93,859.46,1265.03,1190.11,1304.19,1239.95,1185.75,1217.265,1353.04
2015-03-08,1847.71,1721.31,1874.27,1696.47,1679.94,1760.07,1587.36,1927.49,1712.82,1714.89,1770.31,1777.84,1482.99,1784.85,1656.04,1266.41,1683.65,1761.93,1705.37,1773.62,1762.95,1616.085,1818.25
2015-03-09,577.27,670.2,634.23,885.59,868.45,766.34,686.63,628.3,577.26,853.1,815.63,803.52,685.91,715.83,947.4,584.53,667.78,604.92,694.99,746.52,592.96,869.34,873.27
2015-03-10,913.07,988.79,1612.26,1415.91,1433.11,1322.12,1579.42,1632.85,994.03,1470.1,1349.53,1260.31,558.79,1322.8,476.62,1659.26,963.45,713.54,1182.39,1111.34,811.57,1388.585,1393.63
2015-03-11,1475.89,1286.81,1608.15,1352.35,1556.9,1467.57,1560.48,1621.58,1484.77,1488.1,1479.57,1477.47,1707.03,1536.93,1705.18,1637.34,1497.09,1508.92,1442.44,1483.24,1512.83,1472.69,1467.8
2015-03-12,1884.33,1625.89,1917.86,1699.89,1934.67,1847.86,1899.2,1932.26,1893.71,1861.69,1881.34,1910.55,1911.78,1899.85,2035.64,1919.42,1956.54,1812.74,1846.3,1937.23,1872.06,1861.155,1854.33
2015-03-13,1768.58,1510.95,1822.83,1641.4,1879.33,1767.34,1810.63,1827.22,1740.29,1790.28,1800.49,1803.41,1567.39,1804.04,1895.52,1830.02,1823.43,1619.22,1750.55,1824.58,1747.87,1790.675,1785.3
2015-03-14,969.74,985.11,1097.13,689.08,796.36,739.22,994.84,1132.05,818.45,804.41,789.6,890.08,902.86,1049.26,1111.84,1154.6,978.79,865.51,806.5,920.12,900.98,785.42,777.01
2015-03-15,356.66,327.41,323.98,253.99,293.11,291.66,312.92,321.85,347.53,287.44,294.38,312.57,338.22,324.97,452.82,336.03,338.31,352.37,310.99,322.73,361.03,282.18,279.46
2015-03-16,1467.25,1189.13,1628.91,1368.83,1578.17,1472.28,1602.82,1635.88,1448.63,1520.25,1490.89,1465.74,1543.28,1514.08,1567.67,1658.47,1467.71,1415.89,1432.17,1462.9,1434.71,1488.985,1484.06
2015-03-17,1420.51,1088.03,1338.85,1283.13,1476.32,1399.82,1332.92,1353.09,1452.29,1405.67,1431.53,1447.88,1506.87,1369.25,1509.38,1299.15,1441.52,1419.21,1407.83,1441.02,1451.16,1414.865,1397.14
2015-03-18,1490.64,986.78,813.36,541.97,632.68,883.64,695.56,817.73,1487.91,582.97,773.92,876.11,1689.9,875.24,1758.88,878.16,1319.33,1554.41,1100.17,1065.77,1548.43,632.095,614.46
2015-03-19,230.57,286.86,256.54,244.8,281.68,253.3,250.75,247.14,228.47,269.61,263.78,259.86,220.7,271.28,340.36,260.86,240.3,206.7,239.91,257.45,218.44,269.02,268.26
2015-03-20,526.11,426.74,352.01,295.39,340.2,337.23,347.92,339.66,486.92,346.82,358.98,429.65,769.28,442.98,1072.18,359.87,506.97,591.21,410.84,443.47,566.24,347.115,340.44
2015-03-21,711.02,597.34,787.32,699.88,803.41,757.12,764.27,800.86,706.64,760.5,762.72,731.61,468.31,715.53,471.83,792.07,701.17,540.01,723.78,760.67,634.31,763.35,763.42
2015-03-22,778.56,636.73,874.53,850.58,982.15,905.36,887.86,884.96,875.73,926.85,896.8,811.28,760.52,769.61,770.19,857.34,747.65,772.14,830.41,785.36,810.37,917.48,918.13
2015-03-23,1705.74,1411.52,1549.21,1492,1706.95,1622.15,1562.7,1489.77,1715.5,1638.61,1653.66,1681.93,1651.96,1672.71,1761.68,1598.98,1701.45,1628.73,1637.26,1713.52,1717.13,1645.26,1637.08
2015-03-24,1196.19,1075.06,1036.78,1172.67,1334.12,1261.47,1080.29,989.04,1247.71,1235.12,1267.4,1244.49,1293.68,1187.95,1125.35,1056.52,1212.31,1239.41,1217.72,1250.49,1255.49,1265.895,1263.85
2015-03-25,373.73,289.95,603.16,372.15,432.83,390.23,546.4,658.67,357.03,421.49,393.59,370.83,339.52,399.84,320.74,598.73,346.69,314.25,366.08,350.69,337.28,401.75,402.52
2015-03-26,712.12,586.61,521.66,504.11,575.51,589.51,513.55,508.64,719.11,537.28,580.43,603.37,999.35,578.17,988.41,527.82,679.28,819.89,620.86,633.1,775.12,551.01,547.52
2015-03-27,1240.15,1171.04,1683.81,1326.7,1535.88,1362.93,1631.44,1730.48,1170.08,1487.85,1402.86,1353.7,937.2,1481.53,1134.97,1687.17,1296.53,987.11,1266.83,1354.51,1090.95,1442.58,1444.7
2015-03-28,527.2,365.97,442.56,375.72,431.77,440.46,416.36,444.49,536.11,403.11,430.7,441.61,740.97,423.89,569.39,451.39,490.96,599.7,462.74,481.87,567.17,412.59,410.42
2015-03-29,268.16,188.18,222.5,205.95,235.35,237,208.36,224.8,260.73,214.66,233.18,233.01,316.61,212.22,260.92,221.51,254.75,263.09,241.22,262.29,262.12,224.76,223.59
